distance_km,weight_kg,vehicle_type,weather,delay,traffic_volume,delivery_hour,system_load
115.6,13.57,ev van,rainy,no,265,2,28000 
156.0,14.49,ev bike,hot,no,314,3,9000 
284.1,14.35,van,foggy,no,779,4,4000 
287.0,8.21,truck,cold,yes,2571,5,2000 
50.5,31.28,van,foggy,no,5563,6,1000 
203.3,7.5,van,foggy,no,6676,7,23000 
127.8,20.03,truck,hot,no,5966,8,1000 
45.8,27.22,scooter,cold,no,4832,9,1000 
8.7,33.93,ev bike,hot,no,4395,10,26000 
152.8,48.37,ev van,rainy,no,4411,11,1000 
29.0,40.89,ev van,rainy,no,4648,12,35000 
281.6,19.81,scooter,clear,no,4602,13,2000 
75.7,41.47,van,stormy,yes,5125,14,36000 
132.5,14.18,scooter,cold,no,5502,15,2000 
218.2,34.0,truck,rainy,no,5979,16,1000 
152.8,10.46,scooter,rainy,yes,5663,17,15000 
113.8,21.95,van,cold,no,4259,18,7000 
189.3,30.78,bike,clear,no,3069,19,42000 
60.1,40.63,truck,rainy,no,2378,20,45000 
147.7,46.57,truck,foggy,no,2030,21,1000 
289.0,48.99,truck,cold,no,1400,22,16000 
235.6,42.35,van,cold,yes,917,23,2000 
101.1,9.76,ev bike,cold,no,515,0,2000 
273.9,42.56,truck,cold,no,302,1,1000 
262.6,29.36,scooter,clear,no,251,2,2000 
82.2,18.81,van,clear,no,798,4,3000 
280.3,15.29,truck,cold,no,2678,5,1000 
146.1,36.12,bike,foggy,yes,5733,6,2000 
279.9,21.63,van,clear,yes,6449,7,600 
165.4,43.2,ev van,stormy,yes,5765,8,300 
29.9,47.31,van,cold,no,5599,9,1600 
42.6,44.55,truck,hot,no,4534,10,900 
149.9,23.31,ev bike,foggy,no,4691,11,1300 
8.4,44.16,scooter,rainy,no,5067,12,1600 
230.8,30.01,ev bike,hot,no,5030,13,200 
93.0,9.37,bike,clear,no,5300,14,1000 
10.4,4.59,van,clear,no,5777,15,1800 
194.9,2.42,truck,hot,no,6349,16,1400 
182.1,2.26,scooter,rainy,yes,6127,17,100 
38.8,40.89,ev bike,clear,no,4460,18,1400 
55.2,6.78,bike,cold,no,3418,19,1200 
223.3,44.36,truck,stormy,yes,2775,20,300 
46.2,14.83,truck,hot,no,2306,21,400 
3.6,49.52,ev bike,hot,no,1846,22,900 
297.1,22.0,scooter,hot,no,947,23,300 
87.8,7.72,bike,hot,no,494,0,600 
267.4,11.53,truck,hot,yes,332,1,800 
124.8,10.84,ev van,stormy,no,261,2,2700 
288.9,8.3,ev bike,clear,no,361,3,300 
129.5,39.84,scooter,hot,no,5875,6,300 
225.0,7.32,van,foggy,yes,6793,7,900 
289.7,24.36,scooter,stormy,no,6793,7,200 
85.4,41.07,ev bike,rainy,no,6283,8,900 
9.9,30.24,truck,hot,no,6283,8,500 
135.1,37.59,van,hot,no,5680,9,1300 
228.6,5.64,bike,stormy,no,5680,9,500 
169.6,41.44,truck,rainy,yes,4632,10,100 
250.7,29.97,van,foggy,yes,4887,11,900 
80.7,0.67,bike,rainy,no,5030,12,1200 
21.3,41.19,scooter,stormy,no,5067,13,1500 
67.1,32.91,ev bike,clear,no,5227,14,600 
69.4,0.99,ev bike,foggy,no,5610,15,300 
101.2,39.37,van,cold,no,6286,16,400 
94.2,49.37,ev bike,rainy,no,4775,18,1600 
71.0,32.56,ev bike,foggy,no,3340,19,1300 
37.4,42.36,truck,foggy,no,3013,20,1900 
157.0,43.03,scooter,cold,no,2603,21,600 
213.7,49.52,van,cold,no,1910,22,100 
272.6,12.84,ev bike,cold,yes,1037,23,600 
83.5,24.02,scooter,stormy,yes,347,1,500 
198.5,20.1,truck,foggy,no,350,3,100 
158.7,35.06,ev bike,hot,yes,850,4,600 
265.3,31.8,truck,clear,no,2791,5,500 
208.8,22.83,truck,stormy,yes,5809,6,200 
55.7,46.5,scooter,rainy,yes,6798,7,600 
80.6,45.16,van,foggy,no,6304,8,800 
187.7,6.69,bike,stormy,yes,5291,9,900 
225.6,22.83,bike,foggy,no,4638,10,300 
24.5,0.67,truck,rainy,yes,5557,14,700 
194.3,29.51,scooter,rainy,no,5818,15,300 
52.0,43.18,van,foggy,yes,6272,16,600 
282.9,31.33,van,clear,yes,5944,17,1300 
289.2,16.14,van,cold,yes,4949,18,200 
257.9,45.92,ev bike,cold,no,3511,19,300 
258.3,42.79,van,hot,yes,3039,20,100 
288.4,44.12,ev van,rainy,yes,2679,21,200 
86.5,37.04,van,hot,no,2094,22,900 
157.3,4.51,ev van,stormy,yes,1284,23,3000 
41.0,29.25,ev van,rainy,no,630,0,5000 
137.4,27.87,van,foggy,no,410,1,15000 
32.3,46.58,ev bike,clear,no,331,2,2000 
207.8,40.12,van,clear,yes,372,3,100 
23.6,12.4,ev van,foggy,no,739,4,300 
258.0,37.92,ev bike,clear,no,2561,5,200 
255.6,18.93,van,cold,no,5586,6,2000 
289.7,19.13,scooter,cold,no,6992,7,2000 
9.1,45.65,ev van,rainy,yes,5860,8,5000 
245.8,4.19,truck,foggy,no,5230,9,100 
88.6,8.67,ev bike,hot,no,4864,10,400 
59.6,20.84,ev bike,rainy,no,5146,11,60000 
225.4,22.3,bike,hot,no,5526,12,30000 
36.9,45.45,scooter,clear,yes,5383,13,30000 
262.9,31.73,ev van,stormy,yes,5758,14,30000 
262.7,28.7,scooter,clear,no,5889,15,10000 
167.2,35.91,ev van,hot,no,6057,16,10000 
127.4,3.49,van,hot,no,6028,17,5000 
267.0,26.49,ev van,foggy,no,5257,18,10000 
214.0,34.34,truck,cold,no,1897,23,10000 
10.6,42.68,bike,stormy,no,1335,0,5000 
124.2,1.02,scooter,rainy,no,769,1,20000 
129.5,13.38,ev van,stormy,no,570,2,10000 
257.0,10.83,scooter,foggy,yes,413,3,10000 
264.9,43.16,scooter,hot,no,399,4,40000 
163.5,19.83,bike,stormy,no,740,5,10000 
34.6,47.42,truck,hot,no,1420,6,10000 
183.1,38.15,ev bike,rainy,no,2220,7,30000 
138.7,43.15,ev van,clear,no,3479,8,30000 
127.5,41.92,ev van,foggy,no,4546,9,20000 
295.3,8.06,ev van,clear,no,4579,10,30000 
297.1,2.64,ev van,foggy,yes,4438,11,20000 
123.5,29.37,truck,foggy,yes,4623,12,30000 
280.4,3.78,ev bike,stormy,no,4440,13,35000 
74.1,28.64,truck,hot,yes,4495,14,5000 
58.9,11.97,bike,cold,no,4483,15,20000 
197.4,47.42,bike,clear,no,4591,16,10000 
150.6,22.4,bike,foggy,no,4477,17,30000 
224.0,31.45,van,hot,no,4221,18,20000 
33.9,29.91,van,rainy,no,3672,19,20000 
145.2,46.17,truck,cold,no,3015,20,40000 
204.9,41.15,truck,stormy,no,2769,21,30000 
150.8,39.64,van,foggy,no,2875,22,30000 
86.6,16.17,ev bike,clear,no,1931,23,10000 
150.7,17.56,ev van,stormy,no,1309,0,30000 
176.0,18.92,scooter,clear,no,870,1,10000 
165.6,18.69,scooter,rainy,no,654,2,10000 
170.2,44.12,ev van,foggy,no,364,3,10000 
133.4,24.33,ev van,clear,yes,262,4,20000 
100.0,33.34,scooter,clear,no,505,5,90000 
22.1,11.47,truck,cold,no,861,6,30000 
14.9,49.35,truck,foggy,no,1132,7,200 
160.6,48.08,truck,clear,no,1797,8,10000 
257.8,30.28,ev van,rainy,yes,2685,9,1000 
235.9,46.05,bike,stormy,no,2685,9,1000 
161.3,41.74,truck,cold,no,2685,9,200 
192.2,4.85,scooter,foggy,yes,3370,10,10000 
293.0,48.5,ev bike,rainy,no,3370,10,200 
290.2,15.21,truck,foggy,yes,3662,11,200 
297.1,10.39,ev bike,hot,no,3662,11,1000 
5.9,49.52,ev van,clear,no,4076,12,80000 
191.2,5.3,ev bike,stormy,yes,4076,12,10000 
223.8,32.15,ev van,foggy,yes,4076,12,200 
31.8,46.64,ev bike,cold,no,4128,13,200 
109.6,49.52,truck,foggy,no,4128,13,200 
50.4,43.7,van,stormy,no,4128,13,400 
116.0,45.04,van,hot,no,4358,14,70000 
132.9,24.05,van,hot,no,4358,14,200 
54.3,47.84,truck,clear,no,4358,14,200 
149.3,9.87,ev bike,foggy,no,4342,15,10000 
57.1,12.91,van,clear,no,4342,15,400 
276.8,10.69,truck,clear,no,4234,16,2000 
51.7,34.82,van,foggy,no,4271,17,200 
154.3,1.91,truck,foggy,no,4271,17,80000 
103.9,11.4,ev bike,hot,no,4080,18,200 
127.4,22.72,van,hot,yes,3453,19,200 
117.4,18.36,van,cold,no,2718,20,100000 
293.6,0.67,scooter,rainy,yes,2439,21,400 
199.4,11.71,van,stormy,yes,1819,22,10000 
15.6,2.87,van,clear,no,1002,23,200 
250.7,11.8,bike,foggy,no,1002,23,100000 
164.1,25.8,ev van,clear,no,542,0,200 
35.8,18.21,ev van,cold,no,542,0,200 
142.0,41.28,scooter,stormy,no,303,1,1000 
40.9,19.04,ev van,clear,no,239,2,200 
167.7,20.09,scooter,foggy,yes,335,3,80000 
111.8,15.89,van,hot,no,335,3,200 
21.0,8.0,bike,hot,no,810,4,10000 
196.4,10.26,truck,hot,no,810,4,1000 
70.8,46.37,van,stormy,yes,2606,5,200 
230.1,25.52,scooter,cold,no,2606,5,80000 
271.2,45.63,scooter,cold,no,5714,6,200 
73.6,30.03,ev van,foggy,no,6798,7,10000 
92.4,17.36,ev bike,cold,no,6114,8,200 
14.9,49.46,bike,hot,no,5094,9,200 
145.0,3.55,bike,clear,yes,4473,10,2000 
252.2,46.23,bike,hot,no,4529,11,4000 
33.9,21.07,scooter,rainy,yes,4823,12,2000 
51.2,39.62,ev bike,cold,no,4872,13,2000 
223.6,40.23,bike,rainy,no,5238,14,5000 
191.8,15.48,scooter,foggy,no,5584,15,2000 
60.6,4.14,bike,cold,no,6246,16,5000 
52.2,39.45,truck,hot,no,5957,17,6000 
22.1,36.84,ev bike,clear,no,4535,18,10000 
6.3,13.42,truck,cold,no,3234,19,2000 
127.4,42.36,ev van,foggy,no,2677,20,1000 
33.2,27.73,ev bike,stormy,no,2077,21,10000 
88.3,38.22,ev bike,clear,no,1380,22,4000 
262.3,23.86,scooter,clear,no,927,23,5000 
15.8,4.79,ev van,foggy,no,500,0,10000 
239.2,4.47,truck,foggy,no,324,1,4000 
115.1,33.73,bike,clear,no,257,2,1000 
124.2,49.52,bike,clear,no,354,3,3000 
291.8,38.8,ev van,hot,no,769,4,20000 
171.0,23.14,scooter,stormy,no,2769,5,5000 
12.0,43.81,van,stormy,no,5789,6,5000 
238.4,24.39,ev bike,stormy,yes,7055,7,9000 
166.8,28.47,ev bike,cold,no,6408,8,1000 
233.3,16.84,bike,foggy,no,5254,9,5000 
46.2,34.0,truck,cold,no,4547,10,5000 
79.5,28.58,ev van,rainy,yes,4784,11,3000 
273.2,47.03,van,hot,yes,5015,12,5000 
129.5,19.91,truck,stormy,no,5057,13,2000 
153.7,24.73,scooter,rainy,no,5430,14,4000 
193.3,8.82,ev bike,clear,no,5813,15,1000 
159.0,38.64,bike,clear,no,6496,16,1000 
225.4,49.16,truck,stormy,no,6429,17,2000 
67.7,48.92,van,clear,no,5142,18,1000 
276.3,23.98,truck,stormy,no,3311,19,10000 
17.1,26.57,van,hot,no,2777,20,6000 
150.4,15.12,ev van,hot,no,2331,21,5000 
297.1,48.54,ev van,clear,no,1767,22,5000 
198.0,5.95,scooter,clear,no,1093,23,1000 
145.2,38.94,bike,rainy,yes,554,0,1000 
285.8,28.09,van,foggy,yes,333,1,4000 
24.3,32.34,truck,clear,no,267,2,5000 
127.3,31.7,ev bike,foggy,no,358,3,9000 
271.2,21.93,truck,clear,yes,777,4,2000 
204.4,26.11,truck,clear,no,2732,5,1000 
111.2,34.93,bike,foggy,no,5637,6,4000 
293.3,47.56,ev bike,stormy,yes,5564,7,3000 
228.0,20.54,scooter,foggy,yes,6274,8,5000 
293.2,22.4,van,hot,no,5403,9,8000 
175.5,8.95,van,rainy,no,5403,9,8000 
3.6,33.73,bike,clear,no,4680,10,1000 
291.6,45.93,van,cold,no,4642,11,3000 
247.4,26.71,van,foggy,no,4979,12,4000 
165.5,12.13,scooter,stormy,no,4851,13,3000 
49.1,23.26,scooter,hot,yes,4291,14,3000 
264.4,23.82,bike,rainy,yes,4714,15,99000 
191.6,12.02,ev van,clear,no,6723,16,8000 
3.6,27.96,scooter,cold,no,6180,17,40000 
148.6,30.89,ev van,hot,no,4843,18,15000 
294.7,12.88,ev van,stormy,yes,3435,19,28000 
176.2,22.79,van,cold,no,2921,20,20000 
213.5,32.62,ev bike,foggy,no,2763,21,1000 
197.8,45.41,scooter,clear,no,1930,22,152000 
156.1,4.66,scooter,hot,yes,1160,23,100000 
207.9,44.9,ev van,hot,no,654,0,30000 
59.5,6.85,truck,foggy,no,374,1,199000 
102.0,24.77,ev bike,rainy,no,301,2,3000 
266.9,44.04,ev van,hot,no,397,3,3000 
81.7,46.02,bike,clear,yes,794,4,42500 
125.6,39.58,scooter,clear,no,2564,5,7500 
31.9,4.86,ev van,cold,no,5358,6,6000 
279.2,15.87,bike,rainy,no,6441,7,10000 
81.5,9.82,van,hot,no,5536,8,100000 
174.7,26.14,bike,stormy,yes,5256,9,207000 
120.2,19.66,scooter,cold,no,4619,10,5000 
104.7,45.94,scooter,cold,yes,5107,11,3500 
51.3,12.1,scooter,foggy,no,5147,12,10000 
297.1,42.42,ev bike,hot,no,5283,13,1000 
87.5,18.02,scooter,clear,no,5704,14,1000 
119.5,43.59,ev bike,cold,no,5887,15,3000 
58.6,13.04,ev van,cold,yes,6307,16,25500 
188.6,21.04,truck,rainy,yes,5953,17,4000 
26.8,19.35,truck,stormy,yes,4519,18,10000 
199.2,38.15,van,cold,yes,3427,19,15000 
151.4,31.11,ev bike,rainy,yes,2921,20,10000 
194.6,47.14,ev bike,clear,no,2649,21,80000 
3.6,8.13,ev van,cold,no,2005,22,100000 
202.4,49.52,scooter,rainy,yes,1177,23,500 
14.7,4.68,ev bike,clear,no,699,0,1000 
275.3,26.86,bike,foggy,no,436,1,70000 
238.2,10.53,van,foggy,yes,353,2,2000 
38.0,24.15,bike,rainy,no,353,2,4500 
167.3,38.22,truck,cold,no,399,3,1000 
287.1,24.05,ev van,clear,yes,720,4,53000 
73.5,42.84,ev bike,cold,no,720,4,280000 
22.7,35.35,ev bike,stormy,yes,720,4,260000 
127.3,25.67,truck,rainy,no,720,4,1500 
42.3,47.15,truck,foggy,no,2370,5,57000 
233.5,40.49,bike,clear,yes,2370,5,325000 
273.7,47.53,ev bike,cold,no,5162,6,163500 
135.4,27.11,ev bike,hot,no,5162,6,200000 
297.1,46.75,bike,cold,no,5162,6,1000 
57.8,7.31,truck,clear,no,5777,7,249000 
275.4,46.96,van,cold,yes,5777,7,280000 
97.7,25.56,truck,hot,no,5235,8,400000 
270.7,0.67,ev bike,stormy,yes,5235,8,2000 
271.4,40.57,scooter,stormy,yes,5235,8,8000 
105.3,44.66,ev van,rainy,no,4606,9,2000 
7.1,28.02,van,stormy,no,4606,9,5000 
91.5,22.4,truck,cold,no,4328,10,3500 
131.5,43.96,bike,hot,no,4282,11,10000 
295.2,2.76,bike,foggy,no,4489,12,20000 
207.2,42.44,scooter,stormy,yes,4908,13,1500 
190.8,35.44,ev van,foggy,no,5620,14,3500 
193.9,30.19,scooter,foggy,no,5849,15,2000 
119.5,29.41,van,stormy,no,5849,15,42000 
207.2,13.92,ev van,foggy,no,4945,16,1500 
84.6,10.04,scooter,stormy,no,4619,17,1000 
225.9,29.22,ev bike,cold,no,4479,18,44000 
195.9,17.75,bike,clear,no,3804,19,2000 
224.2,13.03,bike,foggy,yes,2908,20,5000 
46.3,28.81,bike,rainy,no,2942,21,2000 
166.1,27.21,bike,clear,yes,3077,22,10000 
58.3,16.4,truck,clear,no,3077,22,8000 
94.2,32.09,bike,foggy,yes,2051,23,56000 
237.8,2.59,truck,clear,no,2051,23,250000 
125.8,45.59,truck,hot,no,2051,23,150000 
15.9,7.17,scooter,foggy,no,1270,0,60000 
267.7,44.08,bike,rainy,no,1270,0,10000 
33.1,22.89,bike,cold,no,773,1,200000 
149.7,38.51,bike,stormy,yes,773,1,160000 
143.1,32.12,truck,hot,no,589,2,160000 
120.3,27.16,ev van,hot,no,432,3,160000 
3.6,43.43,van,rainy,no,432,3,130000 
77.0,8.6,truck,stormy,no,401,4,130000 
47.5,49.39,scooter,clear,no,401,4,80000 
49.9,40.86,bike,stormy,no,401,4,46000 
38.8,46.55,scooter,cold,no,759,5,46000 
247.4,48.42,van,rainy,yes,759,5,180000 
31.2,9.96,ev van,hot,no,759,5,90000 
100.6,48.61,scooter,clear,no,1313,6,95000 
174.4,28.69,ev van,stormy,no,1313,6,140000 
13.2,29.97,truck,clear,no,1313,6,8 
158.0,14.34,van,cold,no,1824,7,2 
139.7,9.7,truck,foggy,no,1824,7,2000 
257.6,8.83,ev bike,cold,no,1824,7,10 
35.7,1.78,ev bike,cold,no,2787,8,5000 
18.5,18.34,ev van,clear,no,2787,8,15000 
45.0,41.0,truck,stormy,no,2787,8,15000 
143.4,36.95,bike,stormy,yes,3713,9,30000 
32.4,1.8,van,foggy,no,3713,9,55000 
185.1,40.6,ev van,hot,no,3713,9,55000 
238.2,27.95,scooter,foggy,no,3713,9,55000 
167.1,14.89,van,cold,no,3815,10,45000 
108.2,24.92,truck,stormy,no,3815,10,88000 
134.6,1.15,truck,foggy,yes,3815,10,100000 
73.5,22.24,ev van,cold,no,3815,10,87000 
255.8,14.6,truck,hot,yes,4339,11,87000 
97.7,30.76,bike,rainy,yes,4339,11,86000 
257.7,39.95,scooter,foggy,yes,4339,11,10000 
289.8,26.78,truck,clear,no,4613,12,2000 
77.4,31.25,ev bike,foggy,no,4613,12,5000 
257.5,48.95,truck,stormy,yes,4613,12,100000 
251.1,36.65,ev bike,stormy,no,4613,12,30000 
183.8,10.06,scooter,hot,yes,4507,13,130000 
250.3,48.18,bike,rainy,no,4452,14,90000 
128.2,12.63,ev van,foggy,yes,4636,15,90000 
181.3,24.66,truck,hot,no,4810,16,70000 
122.3,41.41,ev bike,hot,no,5125,17,25000 
297.1,26.02,ev van,foggy,yes,4337,18,55000 
160.0,40.3,scooter,hot,no,3644,19,100000 
71.9,31.14,ev van,cold,no,3107,20,100000 
201.4,39.58,van,foggy,yes,2929,21,5 
227.7,17.83,truck,hot,no,2865,22,14000 
258.5,48.86,van,rainy,yes,2340,23,5 
4.8,23.18,scooter,stormy,yes,1372,0,6 
224.4,26.14,ev van,rainy,no,1928,8,170000 
159.6,23.09,van,hot,no,1928,8,100000 
218.2,5.67,bike,foggy,no,4695,17,100000 
158.7,5.98,bike,cold,no,4335,18,100000 
99.6,2.6,ev van,cold,no,1583,22,85000 
11.5,38.37,ev bike,foggy,no,959,23,85000 
96.8,8.81,truck,clear,no,498,0,85000 
197.1,39.53,ev bike,hot,no,306,1,85000 
3.9,45.93,truck,cold,no,259,2,65000 
276.5,11.26,ev van,cold,no,324,3,65000 
120.4,8.07,bike,rainy,yes,806,4,65000 
19.8,43.26,bike,clear,no,2622,5,60000 
264.7,48.97,ev bike,clear,no,5456,6,100000 
55.0,42.01,ev van,foggy,no,4324,10,100000 
18.4,17.49,truck,rainy,no,4378,11,100000 
24.5,26.6,ev van,clear,no,4639,12,100000 
158.9,15.11,van,rainy,yes,4546,13,10 
86.5,27.23,ev bike,foggy,no,5006,14,6 
252.7,21.71,truck,clear,no,5361,15,5000 
164.1,42.01,ev van,hot,yes,6101,16,10 
84.1,46.82,truck,cold,no,5781,17,10000 
175.7,16.94,van,rainy,no,4272,18,3000 
283.3,48.8,scooter,stormy,yes,3091,19,2000 
258.9,42.79,scooter,clear,no,2434,20,5000 
41.8,40.63,bike,clear,no,1984,21,75000 
261.7,48.44,bike,rainy,yes,1383,22,75000 
110.5,11.95,truck,cold,no,959,23,72500 
116.0,27.02,bike,hot,no,511,0,72500 
151.7,48.67,van,hot,yes,346,1,150000 
230.7,28.5,bike,clear,no,253,2,100000 
127.3,0.71,bike,rainy,no,349,3,10 
198.7,39.81,ev bike,stormy,yes,807,4,5 
51.9,46.22,bike,foggy,no,2669,5,2000 
89.2,26.31,van,hot,no,5210,6,500 
284.4,39.72,scooter,stormy,no,6083,7,27000 
126.6,17.71,bike,stormy,no,5790,8,23000 
218.2,46.76,scooter,stormy,yes,5484,9,2000 
24.8,0.67,bike,cold,no,4407,10,10000 
10.1,19.76,bike,stormy,no,4725,11,50000 
16.7,23.01,truck,hot,no,4826,12,50000 
210.7,37.42,bike,foggy,no,4945,13,1000 
18.0,10.84,ev van,clear,no,5065,14,1000 
181.0,3.79,van,stormy,yes,5618,15,5000 
76.0,43.71,van,cold,no,6094,16,50000 
43.0,13.98,ev van,hot,yes,5844,17,50000 
208.1,32.7,ev bike,stormy,yes,4649,18,3000 
163.6,33.15,van,cold,no,3180,19,20000 
267.5,48.38,ev van,cold,no,2963,20,50000 
218.4,47.59,truck,cold,no,2450,21,2000 
97.5,1.59,ev bike,cold,no,1613,22,50000 
38.8,7.14,ev van,rainy,no,1021,23,1000 
191.5,8.46,ev bike,clear,no,580,0,2000 
104.9,37.93,truck,foggy,yes,580,0,1000 
